Name;Preis;Kategorie;Vegie;Place;Beschreibung;;;
Bruschetta;3.99;STARTER;VEGAN;KITCHEN;Knuspriges Baguette mit Tomaten; Knoblauch und Basilikum;;
Caprese-Salat;5.49;STARTER;VEGETARIAN;KITCHEN;Frische Tomaten; Mozzarella; Basilikum; Olivenöl
Calamari Fritti;7.99;STARTER;MEAT;KITCHEN;Zarte frittierte Tintenfischringe, mit Knoblauchmayo;;;
Minestrone;4.49;STARTER;VEGAN;KITCHEN;Italienische Gemüsesuppe mit Nudeln;;;
Margherita-Pizza;6.99;MAINDISHES;VEGETARIAN;KITCHEN;Einfache Pizza mit Tomaten; Mozzarella und frischem Basilikum;;
Risotto ai Funghi;8.99;MAINDISHES;VEGAN;KITCHEN;Risotto mit Pilzen; Knoblauch und Weißwein;;
Lasagne al Forno;9.49;MAINDISHES;MEAT;KITCHEN;Schichten von Nudeln; Bolognese und Bechamelsauce;;
Penne all'Arrabbiata;7.99;MAINDISHES;VEGAN;KITCHEN;Penne mit scharfer Tomatensauce; Knoblauch und Peperoni;;
Ravioli ai Quattro Formaggi;8.99;MAINDISHES;VEGETARIAN;KITCHEN;Hausgemachte Ravioli mit vier Käsesorten;;;
Tiramisu;4.99;DESSERTS;VEGETARIAN;KITCHEN;Italienisches Dessert mit Löffelbiskuits; Kaffee; Mascarpone und Kakao;
Cannoli Siciliani;5.49;DESSERTS;VEGETARIAN;KITCHEN;Gefüllte Teigröllchen mit Ricotta und Schokolade;;;
Panna Cotta;4.99;DESSERTS;VEGETARIAN;KITCHEN;Vanillecreme mit Beerenkompott;;;
Gelato;3.49;DESSERTS;VEGETARIAN;KITCHEN;Italienisches Eis in verschiedenen Sorten;;;
Negroni;6.49;ALKOHOL;VEGAN;BAR;Klassischer Cocktail mit Gin; Wermut und Campari;;
Aperol Spritz;5.99;ALKOHOL;VEGAN;BAR;Erfrischender Aperitif mit Aperol; Prosecco und Soda;;
Chianti Classico;25.99;ALKOHOL;VEGETARIAN;BAR;Trockener Rotwein aus der Toskana;;;
Prosecco;19.99;ALKOHOL;VEGAN;BAR;Spritziger italienischer Schaumwein;;;
Espresso;2.49;DRINKS;VEGAN;BAR;Kräftiger italienischer Espresso;;;
Cappuccino;3.49;DRINKS;VEGAN;BAR;Espresso mit aufgeschäumter Milch;;;
Limoncello;3.49;ALKOHOL;VEGAN;BAR;Italienischer Zitronenlikör als erfrischender Abschluss;;;
Aranciata;2.99;DRINKS;VEGAN;BAR;Spritziges Orangengetränk;;;
Rigatoni alla Norma;8.49;MAINDISHES;VEGETARIAN;KITCHEN;Rigatoni mit Tomatensauce; Auberginen; Basilikum und Ricotta;
Frittata di Verdure;6.99;MAINDISHES;VEGETARIAN;KITCHEN;Italienisches Omelett mit Gemüse;;;
Insalata di Mare;10.99;STARTER;MEAT;KITCHEN;Meeresfrüchtesalat mit Olivenöl und Zitrone;;;
Spaghetti Carbonara;7.99;MAINDISHES;MEAT;KITCHEN;Spaghetti mit Ei; Guanciale; Pecorino und schwarzem Pfeffer;
Filetto di Manzo;16.99;MAINDISHES;MEAT;KITCHEN;Rinderfilet mit Rosmarinkartoffeln und Rotweinsauce;;;
Carciofi Ripieni;7.49;STARTER;VEGETARIAN;KITCHEN;Gefüllte Artischockenherzen mit Kräuterbrot;;;
Zuppa di Pesce;12.99;MAINDISHES;MEAT;KITCHEN;Italienischer Fischeintopf mit Tomaten; Knoblauch und Weißwein;;
Tortellini in Brodo;6.99;STARTER;MEAT;KITCHEN;Hausgemachte Tortellini in Fleischbrühe;;;
Pistacchio Gelato;4.49;DESSERTS;VEGETARIAN;KITCHEN;Pistazieneis mit gerösteten Pistazien;;;
Caffè Corretto;5.49;ALKOHOL;VEGAN;BAR;Espresso mit einem Schuss Grappa oder Sambuca;;;
Gnocchi al Pesto;8.49;MAINDISHES;VEGETARIAN;KITCHEN;Gnocchi mit frischem Basilikumpesto;;;
Zabaione;4.99;DESSERTS;VEGAN;KITCHEN;Schaumiges Dessert mit Marsala und Eigelb;;;
Amaretto Sour;6.99;ALKOHOL;VEGAN;BAR;Cocktail mit Amaretto; Zitronensaft und Eiweiß;;
Granita al Limone;3.99;DESSERTS;VEGAN;KITCHEN;Zitronensorbet mit Minze;;;
